,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
14530,Sunter,4,3,87,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
7025,Rawamangun,4,3,130,SHM - Sertifikat Hak Milik,EAST,2250000000.0
19592,Cempaka Putih,5,3,253,SHM - Sertifikat Hak Milik,CENTRAL,6000000000.0
7708,Cibubur,5,4,280,SHM - Sertifikat Hak Milik,EAST,2900000000.0
20423,Cengkareng,4,3,115,SHM - Sertifikat Hak Milik,WEST,2000000000.0
16665,Grogol Petamburan,4,4,135,SHGB - Hak Guna Bangunan,WEST,2450000000.0
8540,Pantai Indah Kapuk,4,4,108,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2700000000.0
16785,Tanjung Duren,2,3,117,SHM - Sertifikat Hak Milik,WEST,4200000000.0
7027,Kramat Jati,3,3,80,SHM - Sertifikat Hak Milik,EAST,2000000000.0
8000,Pantai Indah Kapuk,3,3,100,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4000000000.0
2280,Ciputat Timur,2,1,36,SHM - Sertifikat Hak Milik,WEST,450000000.0
8311,Kelapa Gading,3,2,111,SHGB - Hak Guna Bangunan,NORTH,3000000000.0
3404,Jelambar,4,3,120,SHM - Sertifikat Hak Milik,WEST,1400000000.0
8796,Kamal,3,3,185,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3800000000.0
622,Cempaka Putih,3,2,200,SHM - Sertifikat Hak Milik,CENTRAL,3500000000.0
4440,Jagakarsa,3,2,120,SHM - Sertifikat Hak Milik,SOUTH,1250000000.0
3547,Kembangan,5,4,280,SHM - Sertifikat Hak Milik,WEST,4300000000.0
12147,Cengkareng,5,2,83,SHM - Sertifikat Hak Milik,WEST,900000000.0
1169,Gunung Sahari,3,2,60,SHM - Sertifikat Hak Milik,CENTRAL,575000000.0
16118,Cengkareng,4,2,90,SHM - Sertifikat Hak Milik,WEST,2349999999.0
19438,Ancol,2,1,160,SHGB - Hak Guna Bangunan,NORTH,4100000000.0
21717,Cipayung,2,1,60,SHM - Sertifikat Hak Milik,EAST,575000000.0
18762,Pluit,3,3,185,SHM - Sertifikat Hak Milik,NORTH,3800000000.0
18855,Muara Karang,3,3,300,SHM - Sertifikat Hak Milik,NORTH,5500000000.0
19959,Jl. Kembangan Raya,3,3,250,SHM - Sertifikat Hak Milik,WEST,6700000000.0
2060,Kali Deres,2,1,52,SHM - Sertifikat Hak Milik,WEST,1000000000.0
18799,Kelapa Gading,4,2,90,SHM - Sertifikat Hak Milik,NORTH,1950000000.0
18654,Kelapa Gading,3,3,200,None,NORTH,4500000000.0
8369,Tanjung Priok,2,1,42,SHM - Sertifikat Hak Milik,NORTH,399000000.0
21222,Duren Sawit,4,2,135,SHM - Sertifikat Hak Milik,EAST,1700000000.0
7600,Rawamangun,4,4,155,SHM - Sertifikat Hak Milik,EAST,3500000000.0
16686,Kali Deres,4,3,196,SHM - Sertifikat Hak Milik,WEST,2900000000.0
12615,Jatiwaringin,4,4,94,SHM - Sertifikat Hak Milik,EAST,1300000000.0
2395,Cengkareng,4,3,100,SHM - Sertifikat Hak Milik,WEST,2100000000.0
1761,Sudirman,2,1,36,AJB - Akta Jual Beli,CENTRAL,170000000.0
16499,Jelambar,5,4,235,SHM - Sertifikat Hak Milik,WEST,2700000000.0
18020,Jatiwaringin,3,3,325,SHM - Sertifikat Hak Milik,EAST,5000000000.0
21660,Rawamangun,4,3,180,SHM - Sertifikat Hak Milik,EAST,3000000000.0
15767,Gambir,2,1,80,SHGB - Hak Guna Bangunan,CENTRAL,625000000.0
5457,Kemang,3,3,315,SHM - Sertifikat Hak Milik,SOUTH,6950000000.0
14835,Koja,4,4,145,SHGB - Hak Guna Bangunan,NORTH,3400000000.0
8970,Kelapa Gading,4,4,144,SHM - Sertifikat Hak Milik,NORTH,4000000000.0
15288,Muara Karang,4,4,300,SHM - Sertifikat Hak Milik,NORTH,4650000000.0
11285,Kemanggisan,4,2,150,SHM - Sertifikat Hak Milik,WEST,4500000000.0
21855,Pantai Indah Kapuk,3,2,119,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2600000000.0
12299,Puri Indah,3,3,92,PPJB - Perjanjian Pengikatan Jual Beli,WEST,2100000000.0
13837,Cijantung,3,3,115,SHM - Sertifikat Hak Milik,EAST,1750000000.0
14672,Pantai Indah Kapuk,3,3,154,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5594000000.0
