,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
171,1551230000.0,Roxy,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
172,2500000000.0,Menteng,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
173,2913230000.0,Sawah Besar,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
174,4250000000.0,Johar Baru,3,3,197,SHM - Sertifikat Hak Milik,CENTRAL
177,3900000000.0,Cideng,4,4,230,SHGB - Hak Guna Bangunan,CENTRAL
183,431000000.0,Kemayoran,2,2,39,SHM - Sertifikat Hak Milik,CENTRAL
184,4100000000.0,Kemayoran,5,4,280,SHM - Sertifikat Hak Milik,CENTRAL
185,2400000000.0,Cempaka Putih,4,2,250,SHM - Sertifikat Hak Milik,CENTRAL
188,1200000000.0,Senen,3,2,81,SHM - Sertifikat Hak Milik,CENTRAL
190,1350000000.0,Sawah Besar,3,2,119,SHM - Sertifikat Hak Milik,CENTRAL
194,2800000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
195,1650000000.0,Cempaka Putih,4,3,55,SHM - Sertifikat Hak Milik,CENTRAL
198,2650000000.0,Gunung Sahari,5,4,161,SHM - Sertifikat Hak Milik,CENTRAL
199,7000000000.0,Tanah Abang,2,2,130,Warisan,CENTRAL
200,1850000000.0,Kemayoran,5,2,140,SHM - Sertifikat Hak Milik,CENTRAL
201,1900000000.0,Cempaka Putih,3,2,110,SHM - Sertifikat Hak Milik,CENTRAL
202,1750000000.0,Cempaka Putih,2,2,80,SHM - Sertifikat Hak Milik,CENTRAL
203,1512391230.0,Glodok,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL
206,3500000000.0,Cempaka Putih,3,2,200,SHM - Sertifikat Hak Milik,CENTRAL
207,1512319123.0,Glodok,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
208,4800000000.0,Menteng,3,2,90,SHM - Sertifikat Hak Milik,CENTRAL
210,2500000000.0,Kemayoran,4,4,85,SHM - Sertifikat Hak Milik,CENTRAL
