Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
494700000.0,Kemayoran,2,2,41,SHM - Sertifikat Hak Milik,CENTRAL
5000000000.0,Cempaka Putih,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
1061000000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1500000000.0,Menteng,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
3950000000.0,Gambir,4,3,250,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Roxy,3,3,236,SHM - Sertifikat Hak Milik,CENTRAL
3300000000.0,Cideng,4,2,210,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Gunung Sahari,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
2300000000.0,Kemayoran,5,2,150,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Menteng,3,3,200,SHM - Sertifikat Hak Milik,CENTRAL
425000000.0,Cempaka Putih,2,2,55,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Cempaka Putih,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Sudirman,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Cempaka Putih,5,3,180,SHM - Sertifikat Hak Milik,CENTRAL
4300000000.0,Johar Baru,5,2,200,SHM - Sertifikat Hak Milik,CENTRAL
2550000000.0,Johar Baru,3,3,200,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Sawah Besar,4,3,314,SHM - Sertifikat Hak Milik,CENTRAL
2400000000.0,Sudirman,3,2,118,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
481000000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
3800000000.0,Kemayoran,4,3,250,SHM - Sertifikat Hak Milik,CENTRAL
5750000000.0,Permata Buana,4,3,300,SHM - Sertifikat Hak Milik,WEST
1571850000.0,Kemanggisan,3,2,71,SHM - Sertifikat Hak Milik,WEST
2300000000.0,Meruya,3,3,170,SHM - Sertifikat Hak Milik,WEST
3500000000.0,Meruya,5,4,257,SHM - Sertifikat Hak Milik,WEST
2400000000.0,Meruya,3,3,137,SHM - Sertifikat Hak Milik,WEST
2700000000.0,Meruya,4,4,170,SHM - Sertifikat Hak Milik,WEST
3800000000.0,Joglo,4,4,240,SHM - Sertifikat Hak Milik,WEST
2300000000.0,Meruya,4,4,170,SHM - Sertifikat Hak Milik,WEST
2900000000.0,Cengkareng,4,3,90,SHM - Sertifikat Hak Milik,WEST
3200000000.0,Jelambar,3,4,242,SHM - Sertifikat Hak Milik,WEST
4500000000.0,Kembangan,4,3,250,SHM - Sertifikat Hak Milik,WEST
